FID,,,,,,,,,,,,,,,,,,,,,,,,,,
28,阿拉善盟:GDP(亿元),  ,443.5,425.8,392.6,305.9,245.1,181.8,111.4,64.6,86,50.3,36.6,36.6,25.1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
29,北京市:GDP(亿元),21330.8,19500.6,17801,16011.4,14113.6,12153,11115,9846.8,8117.8,6886.3,4283.3,3663.1,3212.7,2845.7,2478.8,2174.5,2011.3,1810.1,1615.7,1394.9,1084,863.5,709.1,598.9,500.8
30,吉林市:GDP(亿元),2379.6,2617.4,2690,2278,1800.6,1500.5,1300.1,1008,728.8,629.7,703.7,600.1,515.1,446.4,401.2,352.1,330.8,286.8,269.6,228.9,181.5,137.6,108.3,95.5,84.6
31,四平市:GDP(亿元),1210.3,1210.3,1186,1000,779.6,658.6,596.6,475.3,380.2,330.7,279.4,231.3,200,179.4,156.6,164.4,157.8,148,132.8,116.6,100.4,68.2,52.2,44.5,41.9
32,延边州:GDP(亿元),846.4,849,765.4,652.2,534.1,450.3,379.8,307.4,245.2,212.2,194.2,171.5,155,142.5,127.4,120.5,  ,  ,  ,  ,  ,  ,  ,  ,  
33,松原市:GDP(亿元),1596.3,1650.5,1605,1360,1102.9,900.8,806.7,607.4,473.7,365.6,284.7,227.1,195.3,178,155.8,148.2,136,117.7,119.3,95.9,75.5,49.3,39.5,  ,  
34,白城市:GDP(亿元),686.2,692.4,650,530,445.2,353.4,290.7,228.6,190,152.2,137,123.4,102,83.3,73.3,70.1,58.8,60.6,59.8,46.7,48.6,34.6,8.6,7.5,6.7
35,白山市:GDP(亿元),675.3,673.6,654,545,433.2,356.6,300.4,237.5,191.9,160.5,99.2,109.9,100.3,93.6,85,78.5,73.9,67.3,61.2,51.5,45.1,34.7,26.3,22,20.4
36,辽源市:GDP(亿元),690.3,700.3,600,500.5,410.1,336.2,271.2,216.5,171.6,137.1,100.1,81.6,69.7,63.7,67.1,61.1,55.8,49.1,44.8,38,36.6,29.2,24.3,21.5,20
37,通化市:GDP(亿元),1008.5,1003.5,910,760,627.1,518,447.3,353.6,284.7,233.6,217.8,192.4,174.1,158.1,142.3,130.4,123.2,114.6,102.7,85.4,80.7,58,44.8,37.2,33.7
38,长春市:GDP(亿元),5342.4,5003.2,4506.6,4040,3329,2848.6,2561.9,2089.1,1741.2,1678.5,1535,1338,1150.2,1003,861,707.1,609.1,541.2,488.2,363,326.2,220.9,155.3,112.4,105.4
39,乐山市:GDP(亿元),1207.6,1134.8,1037.8,918.1,743.9,619,562.4,453,366.4,306.7,265.8,215.6,179.8,161.1,146,140.4,131.8,121.9,194.6,175.8,134.2,105,85.4,73.3,67.3
40,内江市:GDP(亿元),1156.8,1069.3,978.2,854.7,690.3,560.9,488.3,374.6,301.3,254.8,243.5,200.3,178.2,160.4,144.8,133.1,125.9,249.6,215.2,185.4,155.4,41,81.9,71,64.4
41,凉山州:GDP(亿元),1314.3,1214.4,1122.7,1000.1,784.2,627.1,561.1,450.6,359.6,300.2,250.6,202.4,178,160.4,144.6,134.4,  ,  ,  ,  ,  ,  ,  ,  ,  
42,南充市:GDP(亿元),1432,1328.6,1180.4,1029.5,827.8,686.3,602,508.1,396.5,335.3,307.1,250.3,219.1,200.1,176.8,158.5,146.8,134.7,115.8,102.8,83.4,62.3,9.4,8.6,7.7
43,宜宾市:GDP(亿元),1443.8,1342.9,1242.8,1091.2,870.9,720.8,645.9,529.1,428.1,370,349,291,258.3,229.4,200.7,178.6,168.2,151.1,49.7,38.3,29.6,19.1,13.2,11.3,9.6
44,巴中市:GDP(亿元),456.7,415.9,390.4,343.4,280.9,238.3,213.8,176.1,146.1,129,124.7,108.2,95.6,86.5,84,31.5,30.8,27.8,24.9,  ,  ,  ,  ,  ,  
45,广元市:GDP(亿元),566.2,518.8,468.7,403.5,321.9,270.5,233.6,208.5,166.5,145.2,127.5,104.1,94.1,87.9,86.3,85,84.5,85.5,81.4,72.9,63.1,41,31.8,27.3,25.1
46,广安市:GDP(亿元),919.6,835.1,766,659.9,537.2,450.3,404.9,338.8,281.1,246.3,217.6,176.4,154.4,138.5,126.5,116.9,117.1,  ,  ,  ,  ,  ,  ,  ,  
47,德阳市:GDP(亿元),1515.7,1395.9,1280.2,1137.4,921.3,779.9,695,648.4,539.2,462.2,424.8,355.4,315.1,286,260.1,243.5,232.8,215.2,189.6,161.7,139.8,101.5,75.7,59,50.2
48,成都市:GDP(亿元),10056.6,9108.9,8138.9,6854.6,5551.3,4502.6,3901,3324.2,2750.5,2370.8,2185.7,1870.8,1667.1,1492,1313,1190,1102.6,1007,869.3,713.7,558.4,365.8,260,204.5,174.3
49,攀枝花市:GDP(亿元),870.9,800.9,740,645.7,524,424.1,427.6,345.3,290.1,248,200.8,164.3,138.9,124.2,114.5,108.3,104.9,98.6,89.5,80.9,71.9,56.5,34.9,29.2,21.6
50,泸州市:GDP(亿元),1259.7,1140.5,1030.5,900.9,714.8,587.6,508.4,403.9,331.1,284.9,258.8,216.4,192.2,178,165.5,162,156,143.4,122.4,100.6,80.2,55.8,45.2,39.2,35.7
51,甘孜州:GDP(亿元),206.8,201.2,175,152.2,122.8,103.2,94,78.9,60,50.1,42.1,35.2,31.3,27.6,24.7,23.6,  ,  ,  ,  ,  ,  ,  ,  ,  
52,眉山市:GDP(亿元),944.9,860,775.2,673.3,552.3,465.3,412.7,343.8,280.8,245.1,216.8,174.1,149.5,134.9,124.8,116.8,  ,  ,  ,  ,  ,  ,  ,  ,  
53,绵阳市:GDP(亿元),1579.9,1455.1,1346.4,1189.1,960.2,820.2,743.2,673.5,560.8,482.5,454.9,396.6,369.7,330.1,317.9,310.5,308.7,275.2,238.5,200,163.5,114.5,79.4,66.9,56.9
54,自贡市:GDP(亿元),1073.4,1001.6,884.8,780.4,647.7,541.1,486.9,394.2,320,274,249.4,202.8,181.2,164.3,152,142.9,136.2,126,112,94.3,78.1,53.3,39.8,34.9,33.5
55,资阳市:GDP(亿元),1195.6,1092.4,984.7,836.4,657.9,534.5,467.6,374,300.1,254.8,236.9,194.5,168,153.4,142.9,40.5,38.3,34.5,25.7,  ,  ,  ,  ,  ,  
56,达州市:GDP(亿元),1347.8,1245.4,1135.5,1011.8,819.2,682.7,604,510.4,400.4,342.6,321.9,255.1,225,205.4,187.8,176.6,23,21.1,19.1,  ,  ,  ,  ,  ,  
57,遂宁市:GDP(亿元),809.6,736.6,682.4,603.4,495.2,412.1,372.7,305,240.9,206.6,193.5,159.2,140.6,128.2,118,110.8,109.5,104.5,95,82.4,60.8,39.3,32.6,29.1,26.4
58,阿坝州:GDP(亿元),247.8,234,203.7,168.5,132.8,109.6,75.6,105.1,87,75.2,62.7,51.7,45,40.2,35.3,33.5,  ,  ,  ,  ,  ,  ,  ,  ,  
59,雅安市:GDP(亿元),462.4,418,398.1,350.1,286.5,239.6,213.2,176.8,148.9,126.5,121.6,100.3,89.5,81,73.9,22,22.3,20.9,18.3,  ,  ,  ,  ,  ,  
60,天津市:GDP(亿元),15722.5,14370.2,12885.2,11191,9224.5,7521.9,6719,5252.8,4462.7,3697.6,2931.9,2447.7,2051.2,1840.1,1639.4,1450.1,1336.4,1240.4,1102.4,920.1,725.1,536.1,411.2,342.8,311
61,中卫市:GDP(亿元),297.6,287.5,250.6,213.5,169.2,135.7,119.1,92.5,75,65.9,50.5,21.5,17.8,  ,  ,  ,,,,,,,,,
62,吴忠市:GDP(亿元),385.7,351.9,307,268.3,217,185.9,173,138.8,119.6,98.1,92.2,127,96,101,91.8,78.5,,,,,,,,,
63,固原市:GDP(亿元),201,183,154,129.3,104,87.9,75.8,61.8,51.9,44.9,35.9,37.6,31,  ,  ,  ,,,,,,,,,
64,石嘴山市:GDP(亿元),467.3,446.4,410,368,298.6,270.8,228.7,169.3,129.8,109.6,89.4,69.2,57.9,55.3,50.5,44.4,,,,,,,,,
65,银川市:GDP(亿元),1388.6,1289,1140.8,974.8,769.4,578.2,514.1,408.6,335.3,288.5,189,156.8,133.5,104.8,95,87.6,,,,,,,,,
